Player,Team,Pos,FPPG,FPPM,G,MPG,PPG,RPG,APG,BPG,SPG,OWN,ADP,CON,Poss/G,FPPP,Age
C. Johnson, PHO, F ,10.8,0.49,57,22,8.8,3.3,1.2,0.4,0.6,36.7,187.9,$4.2M,46.8,0.23,23.8
K. Bazemore, POR, GF ,10.7,0.43,68,24.8,8.8,4.3,1.4,0.6,1.1,31.3,202.9,$1.6M,52.2,0.2,30.5
K. Anderson, MEM, F ,10.7,0.54,67,19.8,5.8,4.3,2.4,0.6,0.8,32.7,199,$9.5M,42.7,0.25,26.3
K. Porter Jr., CLE, GF ,10.7,0.46,50,23.2,10,3.2,2.2,0.3,0.9,45.3,170,$1.7M,48,0.22,19.6
M. Carter-Williams, ORL, G ,10.6,0.57,45,18.5,7.2,3.3,2.4,0.5,1.1,27.3,206.5,$0.0M,38.3,0.28,28.2
T. Jones, MEM, G ,10.6,0.56,65,19,7.4,1.6,4.4,0.1,0.9,39.3,188.7,$8.8M,40.8,0.26,23.6
M. Mulder, GSW, G ,10.6,0.37,7,29.1,11,3.3,1.1,0.1,0.3,1.3,450,$1.5M,60.1,0.18,25.5
D. Green, LAL, F ,10.5,0.42,68,24.8,8,3.3,1.3,0.5,1.3,26,208.2,$15.4M,52.3,0.2,32.5
D. McDermott, IND, F ,10.5,0.53,69,19.9,10.3,2.5,1.1,0.1,0.2,20,245.1,$7.3M,41.3,0.25,28
M. Monk, CHA, G ,10.5,0.5,55,21.3,10.3,2.9,2.1,0.3,0.5,26,231,$5.3M,43,0.25,21.9
B. Forbes, SAS, G ,10.4,0.42,63,25.1,11.2,2,1.7,0,0.5,21.3,234.4,$0.0M,52.4,0.2,26.4
C. Boucher, TOR, FC ,10.4,0.79,62,13.2,6.6,4.5,0.4,1,0.4,86.7,100.6,$0.0M,27.9,0.37,26.9
O. Spellman, GSW, FC ,10.4,0.57,49,18.1,7.6,4.5,1,0.5,0.7,32.7,215.1,$2.0M,38,0.27,22.4
D. Waiters, MIA, G ,10.3,0.5,10,20.7,11.1,2.4,2,0.6,0.4,6.7,450,$12.7M,43.6,0.24,28
M. Leonard, MIA, C ,10.3,0.51,51,20.3,6.1,5.1,1.1,0.3,0.3,36,193.5,$0.0M,41.5,0.25,27.8
B. Marjanovic, DAL, C ,10.3,1,41,10.3,7,4.8,0.5,0.2,0.2,73.3,153.6,$3.5M,21.5,0.48,31.4
E. Ilyasova, MIL, F ,10.2,0.65,63,15.7,6.6,4.8,0.8,0.3,0.4,11.3,450,$7.0M,34.5,0.3,32.6
J. Green, UTA, FC ,10.2,0.51,48,20,9.4,2.8,1,0.4,0.5,22.7,214.4,$1.6M,42.9,0.24,33.3
H. Giles, SAC, C ,10.2,0.7,46,14.5,6.9,4.1,1.3,0.4,0.5,48.7,163.5,$0.0M,30.5,0.33,21.7
M. Bamba, ORL, C ,10.2,0.72,62,14.2,5.4,4.9,0.7,1.4,0.4,57.3,169.2,$6.0M,29.3,0.35,21.6
J. Brunson, DAL, G ,10.2,0.57,57,17.9,8.2,2.4,3.3,0.1,0.4,34.7,198,$1.7M,37.1,0.27,23.3
D. Bender, MIL, F ,10.1,0.56,16,17.8,6.7,4.6,1.8,0.6,0.3,6.7,450,$-M,38,0.27,22.1
T. Gibson, NYK, C ,10,0.61,62,16.5,6.1,4.3,0.8,0.5,0.4,8.7,450,$9.5M,34.3,0.29,34.5
B. McLemore, HOU, G ,10,0.44,71,22.8,10.1,2.2,0.8,0.2,0.6,14.7,231.7,$2.3M,49.5,0.2,26.9
K. Caldwell-Pope, LAL, GF ,10,0.39,69,25.5,9.3,2.1,1.6,0.2,0.8,21.3,214.7,$12.1M,53.8,0.19,26.8
J. Jackson, MEM, F ,10,0.57,22,17.3,9,3,1.6,0.4,0.8,38.7,190.5,$4.8M,37.1,0.27,22.9
D. Cacok, LAL, C ,10,1.13,1,8.9,6,5,1,0,0,2,450,$0.0M,20,0.5,23.2
J. Henson, CLE, F ,9.9,0.66,40,15,5.5,4.1,1.4,1.1,0.6,15.3,450,$-M,30.7,0.32,29
C. Joseph, SAC, G ,9.8,0.4,72,24.4,6.4,2.6,3.5,0.3,0.7,10.7,450,$12.6M,50.4,0.19,28.3
T. Snell, DET, GF ,9.8,0.35,59,27.8,8,1.9,2.2,0.3,0.5,10.7,450,$12.2M,56.4,0.17,28.1
N. Batum, CHA, F ,9.7,0.42,22,23,3.6,4.5,3,0.4,0.8,22.7,207.4,$1.6M,45.9,0.21,31
D. Dedmon, SAC, C ,9.7,0.55,44,17.6,5.8,5.7,0.5,0.9,0.6,16.7,450,$2.9M,36.5,0.27,30.4
D. Jones, ATL, C ,9.7,0.6,55,16.1,5.6,3.7,0.6,0.7,0.5,25.3,210.5,$-M,35,0.28,24.5
J. Culver, MIN, GF ,9.7,0.41,63,23.9,9.2,3.4,1.7,0.6,0.9,40.7,182.8,$6.1M,51.7,0.19,20.8
T. Davis, TOR, GF ,9.7,0.58,72,16.8,7.5,3.3,1.6,0.2,0.5,43.3,180.1,$1.5M,35.4,0.27,22.6
A. Rivers, HOU, GF ,9.6,0.41,68,23.4,8.8,2.6,1.7,0.1,0.7,27.3,203,$2.4M,50.9,0.19,27.4
F. Korkmaz, PHI, GF ,9.6,0.44,72,21.7,9.8,2.3,1.1,0.2,0.6,20.7,206.8,$1.8M,44.9,0.21,22.4
P. Connaughton, MIL, GF ,9.5,0.51,67,18.6,5.4,4.2,1.6,0.5,0.4,21.3,232.2,$0.0M,41,0.23,27
L. Shamet, LAC, G ,9.5,0.35,53,27.4,9.3,1.9,1.9,0.2,0.4,17.3,239.3,$2.1M,57.7,0.16,22.8
K. Bowman, GSW, G ,9.5,0.42,45,22.6,7.4,2.7,2.9,0.2,1,5.3,450,$1.4M,47,0.2,21.5
J. Toscano-Anderson, GSW, F ,9.5,0.45,13,20.9,5.3,4,2,0.4,1,2,450,$1.5M,43.9,0.22,26.8
M. Harkless, LAC, GF ,9.4,0.41,62,23,5.8,3.9,1.1,0.5,0.9,16,270.4,$0.0M,48.9,0.19,26.6
T. Bradley, UTA, C ,9.4,0.83,58,11.4,4.9,4.6,0.4,0.6,0.2,32.7,203.3,$3.5M,23.8,0.4,21.9
B. Wanamaker, BOS, G ,9.2,0.47,71,19.3,6.9,2,2.5,0.2,0.9,14.7,220.7,$2.3M,40.1,0.23,30.4
C. Hutchison, CHI, F ,9.2,0.49,28,18.8,7.8,3.9,0.9,0.3,1,17.3,450,$2.4M,39.8,0.23,23.7
G. Trent Jr., POR, GF ,9.2,0.42,61,21.8,8.9,1.6,1,0.3,0.8,34,171.2,$1.7M,45.9,0.2,20.9
S. Mykhailiuk, DET, F ,9.2,0.41,56,22.6,9,1.9,1.9,0.1,0.7,22.7,198.1,$1.7M,46.1,0.2,22.5
A. Iguodala, MIA, GF ,9.1,0.46,21,19.9,4.6,3.7,2.4,1,0.7,20,218.5,$15.0M,41.7,0.22,35.9
J. Barea, DAL, G ,9.1,0.59,29,15.5,7.7,1.8,3.9,0.1,0.2,10,450,$1.6M,32,0.28,35.5
S. Thornwell, NOR, GF ,9.1,0.51,2,17.7,8,2,2,0.5,0.5,2,450,$-M,37.5,0.24,25.1
A. Bradley, LAL, G ,9,0.37,49,24.2,8.6,2.3,1.3,0.1,0.9,14.7,230.1,$5.0M,51.1,0.18,29.1
D. Bembry, ATL, G ,9,0.42,43,21.3,5.8,3.5,1.9,0.4,1.3,14,235.8,$-M,45.7,0.2,25.5
J. Layman, MIN, F ,9,0.41,23,22,9.1,2.5,0.7,0.4,0.7,15.3,274.1,$3.8M,48.7,0.18,25.8
G. Allen, MEM, GF ,9,0.48,38,18.9,8.7,2.2,1.4,0.1,0.3,21.3,255.5,$2.5M,40.8,0.22,24.2
J. Ennis III, PHI, F ,8.9,0.48,70,18.4,6.7,3.6,0.9,0.3,0.5,17.3,231.9,$2.1M,38.3,0.23,29.5
W. Hernangomez, CHA, C ,8.9,0.74,31,12.1,6.1,4.3,0.9,0.2,0.3,32,194.2,$-M,24.4,0.36,25.6
M. Williams, CHA, FC ,8.8,0.45,58,19.5,5.9,3.2,1,0.5,0.6,1.3,450,$0.0M,40.4,0.22,33.5
K. Birch, ORL, FC ,8.8,0.46,48,19.2,4.4,4.6,1,0.5,0.4,24.7,215.5,$3.0M,39.3,0.22,27.2
W. Chandler, BKL, F ,8.7,0.41,35,21,5.9,4.1,1.1,0.3,0.5,4,450,$-M,44.1,0.2,32.6
R. Bullock, NYK, GF ,8.7,0.37,29,23.6,8.1,2.3,1.4,0.1,0.9,12.7,249.8,$4.2M,48.4,0.18,28.8
F. Ntilikina, NYK, G ,8.7,0.42,57,20.8,6.3,2.1,3,0.3,0.9,18.7,249.5,$6.2M,42.8,0.2,21.4
F. Mason, MIL, G ,8.7,0.66,9,13.1,6.9,2.1,3.2,0.1,0.6,0.7,450,$-M,29.3,0.3,25.7
J. McDaniels, CHA, F ,8.7,0.47,16,18.3,5.6,4.1,0.8,0.2,0.5,10.7,450,$1.5M,35.9,0.24,21.9
N. Melli, NOR, FC ,8.7,0.5,60,17.4,6.6,3,1.4,0.4,0.6,40.7,207.2,$3.9M,37.9,0.23,28.9
E. Moore, NOR, G ,8.6,0.47,56,18.2,8.3,2.3,1.4,0.2,0.6,10,450,$0.0M,39.4,0.22,30.8
T. Burke, PHI, G ,8.6,0.54,33,15.8,7.4,1.5,2.5,0.1,0.5,24,233.1,$3.0M,32.7,0.26,27.1
C. Felicio, CHI, C ,8.6,0.49,22,17.5,3.9,4.6,0.7,0.1,0.5,9.3,450,$7.5M,36.5,0.23,27.5
I. Hartenstein, HOU, C ,8.6,0.75,23,11.6,4.7,3.9,0.8,0.5,0.4,24.7,201.1,$1.6M,24.9,0.35,21.6
D. Eubanks, SAS, C ,8.6,0.69,22,12.4,4.9,3.9,0.7,0.8,0.2,18,203,$-M,26.6,0.32,22.9
B. Bol, DEN, F ,8.6,0.59,6,14.5,6.7,3.2,1,1,0.3,60.7,159.1,$2.1M,29.2,0.29,20.1
K. O'Quinn, PHI, C ,8.5,0.78,29,10.8,3.5,4,1.8,0.8,0.2,16,450,$0.0M,22.5,0.38,29.7
M. Scott, PHI, F ,8.4,0.47,68,17.7,6,3.6,0.8,0.1,0.3,13.3,277,$5.0M,36.7,0.23,31.4
A. Pasecniks, WAS, C ,8.4,0.5,26,16.8,6,4.1,0.7,0.5,0.3,9.3,450,$1.5M,36,0.23,24
K. Williams, NOR, F ,8.4,0.4,39,21.3,3.5,4.8,1.5,0.5,0.7,8.7,450,$0.0M,45.9,0.18,25.1
W. Matthews, MIL, GF ,8.3,0.34,67,24.4,7.4,2.5,1.4,0.1,0.6,20.7,223,$3.6M,53.7,0.16,33.2
T. Luwawu-Cabarrot, BKL, GF ,8.3,0.46,47,18.1,7.8,2.7,0.6,0.1,0.4,11.3,269.2,$1.8M,38.8,0.21,24.6
I. Bonga, WAS, F ,8.3,0.44,66,18.9,5,3.4,1.2,0.3,0.7,10.7,450,$1.7M,40.7,0.2,20.1
E. Mudiay, UTA, G ,8.2,0.52,54,15.7,7.3,2.3,2.1,0.2,0.4,15.3,450,$0.0M,32.7,0.25,23.8
J. Hernangomez, DEN, FC ,8.2,0.47,48,17.4,6,4.1,0.8,0.2,0.4,46,153.3,$0.0M,37.3,0.22,24.2
T. Craig, DEN, GF ,8.2,0.44,58,18.5,5.4,3.3,0.8,0.6,0.4,15.3,283,$-M,37.5,0.22,29
K. Bates-Diop, MIN, F ,8.1,0.48,44,16.9,6.5,2.9,0.7,0.5,0.4,8.7,450,$-M,35.8,0.23,23.9
H. Diallo, OKL, F ,8.1,0.42,46,19.5,6.9,3.6,0.8,0.2,0.8,21.3,231.2,$1.7M,40.7,0.2,21.4
C. Martin, CHA, GF ,8.1,0.43,48,18.8,5,3.3,2,0.2,0.8,15.3,450,$1.5M,37.6,0.22,24.2
D. Hall, DET, C ,8.1,0.55,9,14.8,4.3,4.2,0.4,0.7,0.3,5.3,450,$-M,32.6,0.25,22.4
A. Aminu, ORL, F ,8,0.38,18,21.1,4.3,4.8,1.2,0.4,1,8,450,$9.7M,43.1,0.19,29.3
D. Bazley, OKL, F ,8,0.43,61,18.5,5.6,4,0.7,0.7,0.4,58.7,146.4,$2.4M,38.4,0.21,19.5
J. Poole, GSW, G ,8,0.36,57,22.3,8.8,2.1,2.4,0.2,0.6,14.7,215.8,$2.1M,46.9,0.17,20.5
J. Martin, BKL, G ,8,0.73,9,11,7.1,1.1,2,0.2,0.8,1.3,450,$0.0M,25.6,0.31,23.5
J. Pargo, GSW, G ,7.9,0.54,3,14.8,8.3,1,2.7,0,0.3,0.7,450,$-M,32,0.25,33.8
S. Hill, MEM, F ,7.9,0.43,59,18.4,5.5,2.8,1.8,0.2,0.7,8,450,$1.6M,39.6,0.2,28.8
A. Simons, POR, G ,7.9,0.38,70,20.7,8.3,2.2,1.4,0.1,0.4,22,253.8,$2.3M,43.5,0.18,20.5
D. Gafford, CHI, C ,7.8,0.55,43,14.2,5.1,2.5,0.5,1.3,0.3,28.7,198.6,$1.5M,29.3,0.27,21.2
T. Johnson, PHO, G ,7.7,0.42,39,18.2,7,1.9,1.9,0.2,0.4,6,450,$1.6M,39.5,0.2,27.6
C. Martin, CHA, GF ,7.7,0.44,18,17.6,6.2,2.1,1.3,0.4,0.7,7.3,450,$1.5M,34.7,0.22,24.2
K. Korver, MIL, F ,7.6,0.46,58,16.5,6.7,2.1,1.2,0.2,0.4,8,450,$0.0M,36.6,0.21,38.8
W. Iwundu, ORL, F ,7.6,0.41,53,18.6,6,2.6,1.2,0.2,0.5,8.7,450,$1.7M,38.1,0.2,25
L. Kornet, CHI, C ,7.6,0.49,36,15.5,6,2.3,0.9,0.7,0.3,12.7,450,$2.3M,32.3,0.24,24.4
L. Samanic, SAS, FC ,7.6,0.47,3,16.1,5.3,3.3,2,0.7,0,20,238.1,$2.8M,34.7,0.22,19.9
P. McCaw, TOR, GF ,7.5,0.3,37,24.5,4.6,2.3,2.1,0.1,1.1,7.3,450,$4.0M,51.2,0.15,24.2
A. Caruso, LAL, G ,7.5,0.41,64,18.4,5.5,1.9,1.9,0.3,1.1,24,201.4,$2.8M,38.7,0.19,25.8
C. Chiozza, WAS, G ,7.5,0.52,28,14.3,5.1,1.9,3,0.1,0.8,2,450,$1.6M,31.3,0.24,24.1
K. Martin, MIN, F ,7.5,0.47,31,16,6.4,3.1,0.7,0.3,0.2,1.3,450,$1.4M,34.8,0.22,24.4
M. Hezonja, POR, F ,7.4,0.45,53,16.4,4.8,3.5,0.9,0.2,0.7,12.7,450,$2.0M,35,0.21,24.8
D. Valentine, CHI, GF ,7.4,0.55,36,13.6,6.8,2.1,1.2,0.2,0.7,18.7,243.3,$4.6M,28.1,0.26,26.1
G. Payton II, WAS, G ,7.3,0.49,29,14.9,3.9,2.8,1.7,0.2,1.1,4,450,$0.0M,31.8,0.23,27.1
S. Brown, MIL, GF ,7.2,0.49,52,14.7,5.1,3.5,1,0.1,0.6,15.3,450,$1.6M,32.7,0.22,24.9
J. Carter, PHO, G ,7.2,0.44,58,16.3,4.9,2,1.4,0.3,0.8,9.3,450,$0.0M,34.8,0.21,24.3
J. Williams, WAS, F ,7.2,0.6,15,12,3,4.3,0.5,0.5,0.1,1.3,450,$-M,25.2,0.29,24.6
L. Dort, OKL, GF ,7.2,0.32,36,22.8,6.8,2.3,0.8,0.1,0.9,39.3,167.5,$1.5M,47.1,0.15,20.7
B. Knight, CLE, G ,7.1,0.38,25,18.5,7.3,1.6,2.8,0.1,0.4,2,450,$-M,37.6,0.19,28.1
D. Dotson, NYK, G ,7.1,0.41,48,17.4,6.7,1.9,1.2,0.1,0.5,7.3,450,$2.0M,35.9,0.2,25.6
S. Harrison, CHI, F ,7.1,0.63,43,11.3,4.9,2,1.1,0.4,0.8,6,450,$-M,23.7,0.3,26.2
L. Walker, SAS, GF ,7.1,0.43,62,16.4,6.5,2.4,1.1,0.2,0.5,36,187.1,$2.9M,34.8,0.2,21
M. Thybulle, PHI, GF ,7.1,0.36,65,19.8,4.7,1.6,1.2,0.7,1.4,28.7,194,$2.7M,41.3,0.17,22.8
B. Fernando, ATL, C ,7.1,0.56,56,12.7,4.3,3.5,0.9,0.3,0.3,20,241.7,$1.5M,27.8,0.26,21.3
J. Sampson, IND, F ,7,0.5,34,13.8,4.6,2.6,0.6,0.4,0.5,6,450,$1.6M,29.1,0.24,26.8
D. Nwaba, BKL, GF ,7,0.52,20,13.4,5.2,2.3,0.4,0.6,0.6,6,450,$1.8M,28.7,0.24,26.9
P. Dozier, DEN, G ,7,0.49,29,14.2,5.8,1.9,2.2,0.2,0.5,9.3,450,$1.8M,29,0.24,23.2
N. Vonleh, MIN, C ,6.9,0.66,36,10.5,3.7,3.4,0.8,0.2,0.3,20.7,248.5,$1.6M,22.8,0.3,24.3
C. Diallo, PHO, C ,6.9,0.68,47,10.2,4.7,2.8,0.5,0.3,0.2,19.3,248.1,$1.8M,21.7,0.32,23.3
K. Knox, NYK, F ,6.9,0.38,65,17.9,6.4,2.8,0.9,0.4,0.4,31.3,198.5,$4.6M,37.2,0.19,20.4
N. Claxton, BKL, FC ,6.9,0.55,15,12.5,4.4,2.9,1.1,0.5,0.1,20,450,$1.5M,26.9,0.26,20.7
T. Maker, DET, C ,6.8,0.53,60,12.9,4.7,2.8,0.7,0.7,0.4,20.7,246.4,$1.6M,26.6,0.26,22.8
B. Goodwin, ATL, G ,6.8,0.54,34,12.7,6.1,2.1,1.5,0.1,0.4,5.3,450,$1.7M,27.5,0.25,24.2
A. Nader, OKL, F ,6.7,0.42,55,15.8,6.3,1.8,0.7,0.4,0.4,2.7,450,$1.8M,32.7,0.2,26.2
S. Doumbouya, DET, F ,6.7,0.34,38,19.8,6.4,3.1,0.5,0.2,0.5,29.3,222.9,$3.4M,40.2,0.17,19
J. Crawford, BKL, G ,6.5,1.09,1,6,5,0,3,0,0,2,450,$-M,14,0.46,39.8
M. Belinelli, SAS, GF ,6.5,0.42,57,15.5,6.3,1.7,1.2,0,0.2,4.7,450,$0.0M,32.9,0.2,33.7
R. Lopez, MIL, C ,6.5,0.45,66,14.5,5.4,2.4,0.7,0.7,0.2,20.7,177,$0.0M,32.1,0.2,31.7
A. Zizic, CLE, C ,6.5,0.65,22,10,4.4,3,0.3,0.2,0.3,4,450,$-M,20.6,0.32,23
J. Jackson, DAL, F ,6.5,0.4,65,16.1,5.5,2.4,0.8,0.2,0.2,12.7,450,$5.0M,33.4,0.19,24.7
R. Kurucs, BKL, F ,6.5,0.45,47,14.5,4.6,2.9,1.1,0.1,0.5,13.3,450,$1.8M,31.6,0.21,21.9
C. Miles, WAS, F ,6.4,0.4,10,16.1,6.4,1.2,1.2,0.4,1,0,450,$-M,34.8,0.18,32.8
G. Niang, UTA, F ,6.4,0.46,66,14,5.9,1.9,0.7,0.1,0.3,8,450,$1.8M,29,0.22,26.5
P. Patterson, LAC, FC ,6.3,0.48,59,13.2,4.9,2.6,0.7,0.1,0.1,8,450,$0.7M,28.2,0.22,30.8
M. Muscala, OKL, C ,6.3,0.52,47,12.2,4.8,2.3,0.9,0.3,0.2,19.3,229.6,$2.3M,26,0.24,28.5
K. Looney, GSW, C ,6.2,0.47,20,13.1,3.4,3.3,1,0.3,0.6,28,216.6,$4.8M,27.7,0.22,23.9
R. Arcidiacono, CHI, G ,6.2,0.38,58,16,4.5,1.9,1.7,0.1,0.5,6,450,$3.0M,33.7,0.18,25.7
D. Smith Jr., NYK, G ,6.2,0.39,34,15.8,5.5,2.3,2.9,0.2,0.8,29.3,217.7,$5.7M,32.7,0.19,22.1
A. Trier, NYK, G ,6.2,0.51,24,12.1,6.5,1.2,1.2,0.2,0.1,2,450,$-M,25.8,0.24,23.9
J. Konchar, MEM, G ,6.2,0.66,19,9.5,2.8,2.5,1.2,0.2,0.4,2.7,450,$2.1M,20.3,0.31,23.7
