Player,Team,Pos,FPPG,FPPM,G,MPG,PPG,RPG,APG,BPG,SPG,OWN,ADP,CON,Poss/G,FPPP,Age
J. Motley, LAC, F ,3,0.96,13,3.2,2.2,0.8,0.6,0,0.2,2.7,450,$-M,7.3,0.41,24.6
R. Langford, BOS, GF ,3,0.26,32,11.6,2.5,1.3,0.4,0.3,0.3,13.3,450,$3.6M,24.3,0.12,20.2
M. Bolden, CLE, C ,3,1.07,1,2.8,0,2,0,0,1,0,450,$1.4M,6,0.5,21.7
J. James, SAC, GF ,2.9,0.43,35,6.6,2.5,0.9,0.5,0.3,0.2,3.3,450,$1.5M,13.9,0.2,22.9
S. Ponds, TOR, G ,2.9,1.09,4,2.6,2.3,0.3,0.5,0.3,0,0,450,$-M,5.8,0.5,21.5
J. Morgan, UTA, FC ,2.9,0.45,21,6.4,1.7,1.4,0.3,0.1,0,3.3,450,$1.5M,13.7,0.21,22.7
C. Brewer, SAC, F ,2.8,0.43,5,6.5,1,1.6,0.4,0,0.8,0,450,$0.0M,14.4,0.19,33.8
D. Burton, OKL, GF ,2.8,0.31,39,9.1,2.7,1.5,0.4,0.3,0.2,0.7,450,$0.0M,19.4,0.15,25.9
M. Strus, CHI, G ,2.8,0.88,2,3.1,2.5,0.5,0,0,0,0,450,$-M,6.5,0.42,23.7
T. Cook, CLE, FC ,2.7,0.65,13,4.2,1.8,1.1,0.1,0,0.2,2,450,$-M,9.1,0.3,22.2
O. Brissett, TOR, F ,2.7,0.37,19,7.1,1.9,1.4,0.4,0.1,0.2,1.3,450,$-M,14.8,0.18,21.5
J. Uthoff, MEM, F ,2.6,0.34,7,7.6,2.7,0.9,0,0,0.1,0,450,$-M,16,0.16,26.6
Y. Watanabe, MEM, F ,2.6,0.45,18,5.8,2,1.1,0.3,0.1,0.3,0,450,$-M,12.9,0.2,25.2
K. Okpala, MIA, F ,2.5,0.49,5,5.2,1.4,1,0.2,0.2,0.4,8.7,450,$1.5M,11,0.23,20.6
M. Shayok, PHI, G ,2.4,0.34,4,7,2.8,1.8,0.3,0.3,0,0,450,$0.0M,15.8,0.15,24.4
J. Reaves, DAL, F ,2.4,0.34,4,7.1,2,0.8,0.8,0,0,0,450,$-M,14.5,0.17,22.5
M. Frazier Jr., ORL, G ,2.3,0.34,19,6.6,2.1,0.5,0.2,0.1,0.5,1.3,450,$1.7M,13.9,0.16,23.3
L. King, DET, F ,2.3,0.36,10,6.2,2,1,0.5,0,0.2,0.7,450,$0.0M,12.8,0.18,20.7
Z. Norvell Jr., LAL, GF ,2.3,0.28,5,8.2,2,1.2,0.6,0,0.4,0.7,450,$1.4M,17.8,0.13,22
J. Bolden, PHI, FC ,2.2,0.33,7,6.7,1.4,1.3,0,0.3,0.4,1.3,450,$-M,14.9,0.15,24
K. Hervey, OKL, FC ,2.2,0.42,10,5.2,1.7,1.2,0.5,0.1,0.1,1.3,450,$-M,11.4,0.19,23.4
T. Zeller, SAS, C ,2.1,1.09,2,1.9,1,2,0,0,0,0,450,$2.4M,4.5,0.47,29.9
K. Antetokounmpo, LAL, FC ,2.1,0.52,5,4,1.4,0.6,0.4,0,0,6,450,$0.0M,8.8,0.24,21.6
V. Law, ORL, F ,2.1,0.27,8,7.7,1.9,1.4,0.4,0,0.3,0,450,$-M,15.9,0.13,24
J. Robinson, WAS, G ,2,0.37,9,5.4,1.4,0.6,0.8,0.1,0,0.7,450,$-M,12,0.16,24.2
